date,time,tables,liga,players,url,status
25 сент,07:30,A5, Лига 250-300,"['Сергеевич Игорь Александрович', 'Карповкин Геннадий Николаевич', 'Кузьмин Александр Вячеславович', 'Щавелев Никита Николаевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45745,Предстоящий
25 сент,07:45,A4, Лига 500-550,"['Помазков Армен Михайлович', 'Мамека Максим Владимирович', 'Гусев Александр Сергеевич', 'Суркин Дмитрий Евгеньевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45743,Предстоящий
25 сент,07:45,A6, Лига 700-800,"['Троянов Ярослав Вадимович', 'Мартюхин Сергей Вячеславович', 'Буторин Олег Юрьевич', 'Симонов Сергей Владимирович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45753,Предстоящий
25 сент,08:00,A15, Лига 400-450,"['Ермоленко Василий Степанович', 'Козлов Виктор Александрович', 'Муровейко Николай Степанович', 'Луговский Сергей Григорьевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45759,Предстоящий
25 сент,08:00,A3, Лига 300-350,"['Агапов Николай Евгеньевич', 'Плищенко Сергей Алексеевич', 'Мошников Олег Юрьевич', 'Метелешко Игорь Петрович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45739,Предстоящий
25 сент,11:30,A5, Лига 350-400,"['Савинский Александр Игоревич', 'Шипицын Геннадий Юрьевич', 'Гусев Михаил Эдуардович', 'Ханевский Андрей Вадимович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45749,Предстоящий
25 сент,11:45,A6, Лига 700-800,"['Гаврилов Юрий Александрович', 'Туницын Дмитрий Николаевич', 'Морозов Сергей Евгеньевич', 'Карабанов Егор Николаевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45754,Предстоящий
25 сент,11:45,A4, Лига 600-700,"['Артемов Андрей Александрович', 'Боев Антон Дмитриевич', 'Рассказов Антон Евгеньевич', 'Рахмановский Виктор Николаевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45744,Предстоящий
25 сент,12:00,A15, Лига 600-700,"['Третьяков Александр Александрович', 'Сидорков Александр Юрьевич', 'Кулеш Алексей Юрьевич', 'Девятников Даниил Николаевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45760,Предстоящий
25 сент,12:00,A3, Лига 400-450,"['Василенко Андрей Викторович', 'Колунов Олег Алексеевич', 'Степанов Антон Сергеевич', 'Рыбалкин Александр Васильевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45740,Предстоящий
25 сент,15:30,A5, Лига 300-350,"['Кольмин Александр Александрович', 'Белугин Олег Владимирович', 'Яковлев Андрей Валентинович', 'Ланин Сергей Иванович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45750,Предстоящий
25 сент,15:45,A6, Лига 250-300,"['Константинов Сергей Владимирович', 'Щавелев Никита Николаевич', 'Хургин Владимир Михайлович', 'Ивашов Роман Георгиевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45756,Предстоящий
25 сент,15:45,A4, Лига 450-500,"['Новиков Илья Юрьевич', 'Гущин Сергей Михайлович', 'Беляков Владимир Владимирович', 'Алов Роман Михайлович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45746,Предстоящий
25 сент,16:00,A15, Лига 600-700,"['Черной Андрей Юдимович', 'Цыкунов Алексей Петрович', 'Краснов Кирилл Вадимович', 'Храмеев Андрей Павлович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45761,Предстоящий
25 сент,16:00,A3, Лига 400-450,"['Пойдашев Артём Георгиевич', 'Алексеев Александр Александрович', 'Казаков Алексей Рудольфович', 'Слесарев Владимир Георгиевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45741,Предстоящий
25 сент,19:30,A5, Лига 300-350,"['Нурмухамедов Михаил Абдулсаматович', 'Марейчев Сергей Борисович', 'Невежин Геннадий Михайлович', 'Метелешко Игорь Петрович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45751,Предстоящий
25 сент,19:45,A6, Лига 800-900,"['Рахматов Александр Ромазанович', 'Петров Михаил Геннадьевич', 'Гришаев Евгений Вячеславович', 'Монаков Александр Олегович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45757,Предстоящий
25 сент,19:45,A4, Лига 600-700,"['Гребенюк Богдан Валерьевич', 'Афанасьев Максим Андреевич', 'Базилевский Виталий Михайлович', 'Чахур Владислав Васильевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45747,Предстоящий
25 сент,20:00,А9, Лига 900-1000,"['Комаров Денис Андреевич', 'Королев Семен Александрович', 'Дедов Василий Владимирович', 'Лукьянов Павел Владимирович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45755,Предстоящий
25 сент,20:00,A3, Лига 350-400,"['Скомсков Валерий Михайлович', 'Карюхин Александр Владимирович', 'Лобанов Максим Владимирович', 'Аккуратов Алексей Владимирович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45742,Предстоящий
25 сент,20:00,A15, Лига 500-550,"['Токаревский Анатолий Сергеевич', 'Ляльков Виталий Геннадьевич', 'Шафиев Руслан Казымович', 'Боковой Юрий Геннадьевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45762,Предстоящий
25 сент,23:30,A5, Лига 450-500,"['Анисимов Евгений Евгеньевич', 'Попов Олег Александрович', 'Зюганов Олег Владимирович', 'Зеленский Роман Юрьевич', 'Шершнев Алексей Владимирович']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45752,Предстоящий
25 сент,23:45,A6, Лига 500-550,"['Фурсов Павел Сергеевич', 'Обухов Василий Валерьевич', 'Тарасенков Николай Вячеславович', 'Мамека Максим Владимирович', 'Пандур Иван Георгиевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45758,Предстоящий
25 сент,23:45,A4, Лига 400-450,"['Письменный Александр Андреевич', 'Михайлов Игорь Валерьевич', 'Сорокин Максим Сергеевич', 'Федоров Александр Сергеевич', 'Свердлов Михаил Яковлевич']",https://www.sport-liga.pro/ru/table-tennis/tournaments/45748,Предстоящий
